Sample	Batch	Target	Cycle	File_ID	Experiment_ID
YWK_B_AffSeq_G9_CTCF_cycle2	YWK_B	CTCF	2	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G9_Cycle2_Read1	YWK_B_AffSeq_G9_CTCF
YWK_B_AffSeq_G9_CTCF_cycle3	YWK_B	CTCF	3	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G9_Cycle3_Read1	YWK_B_AffSeq_G9_CTCF
YWK_B_AffSeq_G9_CTCF_cycle4	YWK_B	CTCF	4	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKB_Standard_Well_G9_Cycle4_Read1	YWK_B_AffSeq_G9_CTCF
YWK_D_AffSeq_G9_CTCF_cycle1	YWK_D	CTCF	1	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKD_LongWash_Well_G9_Cycle1_Read1	YWK_D_AffSeq_G9_CTCF
YWK_D_AffSeq_G9_CTCF_cycle2	YWK_D	CTCF	2	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKD_LongWash_Well_G9_Cycle2_Read1	YWK_D_AffSeq_G9_CTCF
YWK_D_AffSeq_G9_CTCF_cycle3	YWK_D	CTCF	3	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKD_LongWash_Well_G9_Cycle3_Read1	YWK_D_AffSeq_G9_CTCF
YWK_D_AffSeq_G9_CTCF_cycle4	YWK_D	CTCF	4	CTCF_pTH16501_AffiSeq_Lysate_Batch_YWKD_LongWash_Well_G9_Cycle4_Read1	YWK_D_AffSeq_G9_CTCF
YWL_B_AffSeq_H8_CTCF_cycle1	YWL_B	CTCF	1	YWL_B_CTCF_AffiSeq_Cycle1_H8_Read1	YWL_B_AffSeq_H8_CTCF
YWL_B_AffSeq_H8_CTCF_cycle2	YWL_B	CTCF	2	YWL_B_CTCF_AffiSeq_Cycle2_H8_Read1	YWL_B_AffSeq_H8_CTCF
YWL_B_AffSeq_H8_CTCF_cycle3	YWL_B	CTCF	3	YWL_B_CTCF_AffiSeq_Cycle3_H8_Read1	YWL_B_AffSeq_H8_CTCF
YWL_B_AffSeq_H8_CTCF_cycle4	YWL_B	CTCF	4	YWL_B_CTCF_AffiSeq_Cycle4_H8_Read1	YWL_B_AffSeq_H8_CTCF
YWN_B_AffSeq_A5_CTCF_cycle1	YWN_B	CTCF	1	YWN_B_CTCF_AffiSeq_Cycle1_A5_Read1	YWN_B_AffSeq_A5_CTCF
YWN_B_AffSeq_A5_CTCF_cycle2	YWN_B	CTCF	2	YWN_B_CTCF_AffiSeq_Cycle2_A5_Read1	YWN_B_AffSeq_A5_CTCF
YWN_B_AffSeq_A5_CTCF_cycle3	YWN_B	CTCF	3	YWN_B_CTCF_AffiSeq_Cycle3_A5_Read1	YWN_B_AffSeq_A5_CTCF
YWN_B_AffSeq_A5_CTCF_cycle4	YWN_B	CTCF	4	YWN_B_CTCF_AffiSeq_Cycle4_A5_Read1	YWN_B_AffSeq_A5_CTCF
YWO_B_AffSeq_A5_CTCF_cycle1	YWO_B	CTCF	1	YWO_B_CTCF_AffiSeq_Cycle1_A5_Read1	YWO_B_AffSeq_A5_CTCF
YWO_B_AffSeq_A5_CTCF_cycle2	YWO_B	CTCF	2	YWO_B_CTCF_AffiSeq_Cycle2_A5_Read1	YWO_B_AffSeq_A5_CTCF
YWO_B_AffSeq_A5_CTCF_cycle3	YWO_B	CTCF	3	YWO_B_CTCF_AffiSeq_Cycle3_A5_Read1	YWO_B_AffSeq_A5_CTCF
YWO_B_AffSeq_A5_CTCF_cycle4	YWO_B	CTCF	4	YWO_B_CTCF_AffiSeq_Cycle4_A5_Read1	YWO_B_AffSeq_A5_CTCF
